,tweet,likes,state,candidate,retweet_count
49,"🇺🇸 EPIC TRUMP CAR RALLY LI NY 🇺🇸 

DON'T BE SURPRISED WHEN NY VOTES RED @NYCMayor &amp; @NYGovCuomo 

💥 Cheating Won't Work This Year 💥 

IT GOES ON FOR MILES! HUNDREDS OF CARS DRIVE WHILE 100's MORE ROOT THEM ON FROM THE SIDES ❤ NY LOVES @POTUS

#Trump2020Landslide #Trump https://t.co/54jWkn5vwW",1142.0,Florida,Trump,
50,"We swear, Donald Trump is the worst racist ever. #BlackAmerican #DonaldTrump #Racism https://t.co/AmzVqvKYLY",438.0,Georgia,Trump,
51,This dark warning was issued by Voight from his Twitter account. #2020election #DonaldTrump #Prayer https://t.co/oBk5YmLa27,382.0,Georgia,Trump,
52,So this is what really happens in a 60 Minutes interview. Recording and releasing this was brilliant. #2020election #CBSNews #DonaldTrump #LiberalMedia #MainstreamMedia #MediaBias https://t.co/cuWbmTTKrV,341.0,Georgia,Trump,
53,The paper has not endorsed a Republican presidential nominee since 1972. #2020election #DonaldTrump #Voting https://t.co/mR8UzpHBfa,315.0,Georgia,Trump,
54,Ben Shapiro was a never-Trumper for a long time but has now announced his support in the 2020 election. #2020election #DonaldTrump https://t.co/6vdVrI1Bi5,305.0,Georgia,Trump,
55,But she was so nasty!   #LeslieStahl  #Trump https://t.co/J8DfbryoFd,1.0,Guam,Trump,
56,#Trump https://t.co/V2PdUnz2j6,1.0,Guam,Trump,
57,Here on the island of #Guam voters chose Fmr VP Joe Biden as the next President. Though even we are Americans our votes does not count https://t.co/WIx7LrlhRD   #uselection2020 #uselection #Biden #Trump,1.0,Guam,Trump,
58,Anybody but #Trump that mf is embarrassing https://t.co/oudyHaFblu,0.0,Guam,Trump,
59,@someknew @sarahcpr This kid makes more sense than Donald Trump! #DonaldTrump #vote #BidenHarris2020,225.0,Hawaii,Trump,
60,"@IowaGOPer Seems to me pretty obvious that #Trump supporters--after everything he has said and done, including undermining our election process--have earned out contempt. Millions of them, sadly.",134.0,Hawaii,Trump,
61,@adamwren @AriFleischer Hah hah hah. We shall give the #Trump family the same consideration and compassion they showed to those babies and children torn from their parents at the border.,78.0,Hawaii,Trump,
62,"@SteveSchmidtSES @realDonaldTrump @ProjectLincoln In Australia, there is even a special TV show where they play Donald #Trump’s latest “speech” to a lie meter and laughing audience. He is an international joke.",66.0,Hawaii,Trump,
63,"@Jonstackpool It might have been Van Morrison's Into the Mystic, but that was before I learned he is a #Trump supporter.",61.0,Hawaii,Trump,
64,Saw this cool #Trump #Winnebago at the #DonaldTrumpJr #Rally today in #OrmondBeach #Florida https://t.co/6Hs4VrAf2F,41.0,Idaho,Trump,
65,"@ddlovato @ddlovato screws up her engagement, has failed miserably in so many other areas..so her answer to that, to release a song bashing #Trump when the song sounds like baby making music. File this under - another fail.",22.0,Idaho,Trump,
66,"@CNN Some many untruths have become truths as #Trump tries to hold on to power and manipulate the American people. The man who would be king has no class. The same thing was said about Nixon,, that's why the Donald's often referred to as #FatNixon.",22.0,Idaho,Trump,
67,#Florida is full of many wonderful #Trump #Patriots https://t.co/liEn3MBVWN,18.0,Idaho,Trump,
68,"@UROCKlive1 @maggieNYT @JoeBiden Gaetz will legally change his name this week just so #Trump doesn't look ""slow.""",17.0,Idaho,Trump,
69,"Wear a mask. Set an example. Follow the example of @JoeBiden, not #Trump. Protect others and yourself. And enjoy singing also with this. https://t.co/QAYfkzlEVB",1934.0,Illinois,Trump,
70,"Anybody notice how quiet the #MeToo movement has been during the #JoeBiden campaign since he was accused of raping that woman?   

If she were accusing #Trump, you think they would be keeping it quiet?   

The failure of the MeToo movement is a bi-partisan issue.",873.0,Illinois,Trump,
71,"Him:  #DonaldTrump is lying about his Platinum plan.  He could have done all that over the last 4 years.

Me:  You’re correct.  And #JoeBiden was also lying when he said they would talk about helping #blackpeople after the election.  He had 8 yrs with #Obama and didn’t do shit",667.0,Illinois,Trump,
72,"#Trump racism has been defeated.
#Biden style racism is back.",633.0,Illinois,Trump,
73,"#Trump wittert Wahlbetrug und will vors oberste Gericht ziehen und die Moralwächter in Deutschland, die beim Rückgängigmachen der Thüringenwahl brüllend schwiegen, rasten aus. #Heuchler",557.0,Illinois,Trump,
74,"""I want Donald #Trump’s taxes, his medical records, #Ivanka’s and #JaredKushner’s security clearance documents, plus the translator’s notes from #Helsinki""

All I want is @realDonaldTrump in the #NewYork State Department of Corrections! #TrumpTerroism https://t.co/61zTigooCE",943.0,Indiana,Trump,
75,@USWBat @steelworkers @TeamJoe @TeamTrump As a Steelworker I'm voting #Trump.,113.0,Indiana,Trump,
76,Has Biden said anything he actually plans to do? Need something more than just #Trump is wrong. #OrangeManBad #PresidentialDebate2020,86.0,Indiana,Trump,
77,"You pay for the whole seat, but you’ll only need the edge.....

#ElectionDay #Elections2020 #Trump #Biden #JustLetThemFight https://t.co/0LwE3oZOnH",75.0,Indiana,Trump,
78,Bye bye oil industry!! #biden #trump #Debates2020 https://t.co/SCmNeNkzZz,69.0,Indiana,Trump,
79,"It's 12:30AM in Florida where @realDonaldTrump is speaking at his 5th rally of the day. 

Meanwhile @JoeBiden is hunkered down in Delaware, &amp; in the rare instances he DOES leave, he doesn't even know what state he's in. Or he calls folks ""ugly"" like he did in MN on Friday. #Trump",399.0,Iowa,Trump,
80,"#Trump empowered this death threat against #LeslieStahl as was intended. He uses the bully pulpit to personally intimidate, as any good authoritarian does.  What is the next step after you get enuf independent voices intimidated? TOTAL control.  https://t.co/fyE894is5C #SmartNews",75.0,Iowa,Trump,
81,"Fun fact: #trump never actually had a lead in #Wisconsin, #Pennsylvania, #Georgia or #Michigan.

The ballots were there waiting to be counted. #election2020 

#PresidentBiden 🇺🇲",54.0,Iowa,Trump,
82,"Why does #Trump use aerial performances by military aircraft to entertain people at #TrumpRallies, even though it is illegal? It's because he has no respect for any law that gets in his way. Thanks Admiral! #MAGA2020 #KAG #IaPolitics https://t.co/UiskX8zWCT",41.0,Iowa,Trump,
83,"This looks like #Trump's  ""Russia, Are you listening??"" speech just before the doctored Hillary emails surfaced.  Now he writes ""I Love Texas!"" over a video of an attempted #Biden assassination event. Who is pushing this nation toward #CivilWar? And why? 
https://t.co/w2S3qYcJpe",40.0,Iowa,Trump,
84,"Wow, this one is powerful!
WATCH IT, if you are leaning toward voting #Trump.
And don't do it.

#VoteForBiden 
#TrumpOut2020 
#ThisIsNotAmerica https://t.co/O1HoqX0H5j",666.0,Kansas,Trump,
85,"Played at his NH rally today
#Trump #KingTroller 
#Trump2020LandslideVictory https://t.co/MQ8QYgip8t",172.0,Kansas,Trump,
86,"Dear white liberals,

We understand you hate #Trump, we know you’re a little bitch who cries yourself to sleep because he’s still your president, but you’re not allowed to think for us minorities &amp; never will be able to. Get over it or continue crying. 😊

-TNC 

PS: you a ho",109.0,Kansas,Trump,
87,"@kayleighmcenany @JoeBiden That’s #PresidentElectJoe @JoeBiden to you, soon to be ex- @PressSec. And again, he’s still not in charge, so maybe #Trump should get off the #Golf course and govern!",83.0,Kansas,Trump,
88,Funny how they’re coming at ice cube over working with the #trump administration! Shows you they’re not willing to work with anyone even if you want the best for your community,82.0,Kansas,Trump,
89,"Trump has 4 Peace Prize nom. for peace deals that before 2016 I doubt any of us would have even imagined possible. #MSM outlets before were wars and conflicts brewing as our Gov. sent us to fight them. 
Now they say #Trump is destroying what they created, message received.",578.0,Kentucky,Trump,
90,"Racist? I think #MSM should cover what is really going on under #Trump
As always he is fixing what the previous administration's had messed up...

https://t.co/0vRCZmmNEu",492.0,Kentucky,Trump,
91,"Ted Nugget's 20 Reasons To Vote #Trump 

https://t.co/pYVxGi4AOY",395.0,Kentucky,Trump,
92,"You Gotta Love Our President!
VIDEO: #Trump Isn’t EFFING Around Anymore: Responds ‘Lock up the Bidens, Lock up Hillary,’ After Crowd Chants ‘Lock Them Up!’

https://t.co/W2l5trtjRA",359.0,Kentucky,Trump,
93,"I Doubt #Trump will lose any sleep LOL!

https://t.co/lJkGulrwfu",332.0,Kentucky,Trump,
94,Them racist bitches mad 😂😂🇺🇸 #JoeBiden #DonaldTrump https://t.co/2c1umXtswa,1160.0,Louisiana,Trump,
95,@HKrassenstein @realDonaldTrump Take a close look at #DonaldTrump's vote count. https://t.co/sfrRPbVlKG,1149.0,Louisiana,Trump,
96,@JoeBiden Lower taxes. Fastest GDP growth. 4 Nobel Peace Prizes. Peace negotiations and deals in the Middle East. Navy Seals rescued American hostage in Nigeria today. Best President. Best Military. Best Country. In the world...🇺🇸#HopeOverFear #Trump,529.0,Louisiana,Trump,
97,@smc429 @realDonaldTrump You should sit down with Barron and ask him why young people who #MarchForOurLives did not vote for #DonaldTrump instead voted for #BidenHarrisToEndThisNightmare https://t.co/G093zMF9aX,358.0,Louisiana,Trump,
98,"@realDonaldTrump @EveningEdit #DonaldTrump “We need an explanation as to how these numbers have been running up for the last two or three days. 
@JoeBiden #math, Donald. https://t.co/Yr9mzQXG94",302.0,Louisiana,Trump,
99,"If it were up to #trump These exonerated 5 would have been dead. The same jackoff who had hush money for his prostitute and brags about grabbing woman by her pu$$y &amp; taking it.. um yeah, #TrumpIsALoser #DumpTrump2020 This in NOT my president @kenjeong https://t.co/rtd4ah8pNy",122.0,Maine,Trump,
100,"Nach vier Jahren #Trump, atme ich richtig auf, wenn ich #Biden sprechen höre. Endlich wieder Sätze, die Sinn machen, nicht voller Hass und Lügen sind. Ich habe Hoffnung 🤞🏼 #Elections2020 #BidenHarris",85.0,Maine,Trump,
101,"I was going to vote for Trump, but then an aged Jersey rock star with a fake mid-western Barbra Streisand accent said he would move to Australia if Biden loses.  

I just don’t know if this country could ever survive without him.

#Elections2020 #Trump or Biden",56.0,Maine,Trump,
102,"Ich bin nicht gläubig, aber in #Georgia liegt Biden nur noch &lt;665 Stimmen hinter der Furie #Trump. Damit wäre Biden so gut wie sicher Präsident der Vereinigten Staaten von Amerika. Lasst uns beten, zu wem auch immer. #Election2020 #BidenHarris",24.0,Maine,Trump,
103,"Ich würde gerne JETZT Maus im #WhiteHouse spielen und erleben, wie #Trump|s Arsch langsam auf Grundeis geht. Das wäre sicher sehr amüsant. #Election2020 #BidenPresident",19.0,Maine,Trump,
104,Preach!!!!! #BlackVoicesForTrump#woke #Trump https://t.co/RF9U36ZQ0Q,617.0,Maryland,Trump,
105,"Left: Shot

Right: Chaser 

#Trump https://t.co/vlyihZJkk9",148.0,Maryland,Trump,
106,Ummm why is #AngryJoeBiden screaming angrily at all 15-20 people that showed up for his “rally” in Michigan? He just gets angrier and yells more at every rally. And he still can’t say #KamalaHarris name correctly. Thank God for #Trump!,142.0,Maryland,Trump,
107,@sciencegranny @SpeakerPelosi Her “fighting” amounts to Americans waiting for necessary help. Her job isn’t to be on a soap box - it’s to speak for the people and she KNOWS exactly what people want. She just doesn’t want to provide because she doesn’t like #DonaldTrump. Some of us can’t wait!,139.0,Maryland,Trump,
108,The Amish ! #blackvoicesfortrump #woke #Trump https://t.co/e0MUurGAhk,136.0,Maryland,Trump,
109,"$10,000 cash give giveaway: If either Presidential Candidate gets 366 or more electoral votes (Obama had 365 in 2008) in #Election2020 Ill give 10 lucky followers $1000 each! Must follow me- RT &amp; Like this to be eligible. #DakotaCashBombGiveAway #Biden #Trump (Will do live draw)",1200.0,Massachusetts,Trump,
110,It is a miracle these kids ever found their parents.   #Trump never had a plan. My 8 year old client  found her mom because she remembered her grandmothers’ number in Guatemala and convinced someone at the shelter  to let her use a phone. #FamiliesBelongTogether #BidenHarris,550.0,Massachusetts,Trump,
111,"Can't believe I have to explain this because #Coyotes is trending but:

The 545 children all came with their parents. They did not come with smugglers, coyotes, or  uncles. They are class action plaintiffs against #Trump. They are therefore children who arrived with parents",261.0,Massachusetts,Trump,
112,"Historians can correct me, but I don’t ever recall so many businesses fearing violence before an election in the US.  And let’s be clear: it’s not #Biden who’s encouraging it. This is on #trump, who thinks violence on his behalf is perfectly ok.",220.0,Massachusetts,Trump,
113,"In his first speech to the nation as President-elect, #JoeBiden reached out to those who voted for #DonaldTrump, and made a plea for civility in #politics. ""This is the time to heal in America,"" he said. https://t.co/fPDs4kr3Vl https://t.co/U4zoxbsQfI",183.0,Massachusetts,Trump,
114,"What’s interesting is that #Trump saw equal or greater vote losses from 2016 in Oakland County (-54,000) and the Wayne County suburbs (-35,000).  Can’t imagine why he’s not also fabricating fraud claims against Farmington or Bloomfield or Grosse Pointe...",1287.0,Michigan,Trump,
115,"In the race against #DonaldTrump, America is winning. https://t.co/W9LyYyg6jq",178.0,Michigan,Trump,
116,#Trump https://t.co/zEKDQA2X5v,129.0,Michigan,Trump,
117,"#COVID19 has made it clearer than ever that everyone needs reliable high-speed broadband, but the #Trump @FCC just doubled down on repealing #NetNeutrality. Internet access should be a right, not a privilege. Join the fight to restore a free and open internet. #SaveTheInternet https://t.co/FmUy0e2Ehi",127.0,Michigan,Trump,
118,Via https://t.co/WfHILYqyoP #WWE #Election2020 #DonaldTrump #JoeBiden https://t.co/6mmfNV8uZ4,122.0,Michigan,Trump,
119,"Here it is.
The ugly truth about Jared, Ivanka and Donald Trump.

#Trump’s Vaccine Rush vs. the FDA: Inside Stephen Hahn’s “Existential Crisis” https://t.co/x7UpGufUfm via @VanityFair",574.0,Minnesota,Trump,
120,BREAKING: CBS News declares Joe Biden president-elect after his projected win in Pennsylvania. #Election2020 #JoeBiden #DonaldTrump  | https://t.co/J3zZ928zA3 https://t.co/FGTTnFJOSf,452.0,Minnesota,Trump,
121,"I’m predicting that #Trump is going to have a serious breakdown, mental and nervous before #ElectionDay #Elections2020 

#TrollInChief #AngryBaby",96.0,Minnesota,Trump,
122,"Tweeps, ok this MAY BE THE NIGHT to actually stay up. I’d really like to be up and soberly witnessing the global media announcement that #Trump was freaking finally FIRED as the @POTUS @POTUS. ☺️😊😉😁",85.0,Minnesota,Trump,
123,My dad is a combat soldier- fought in Vietnam. He just texted me this picture of me as a baby when we where stationed in Heidelberg Germany. He so wants #Trump to win for all the veterans that have risked all so we could be free.🙏🏻❤️🇺🇸 https://t.co/K9CB4YBQrC,76.0,Minnesota,Trump,
124,"To the #Trump kids Donald jr, Eric, and Ivanka and Mr. Ivanka - your guy are in deep do do. An orange jumpsuit may be is awaiting. #Election2020 https://t.co/1uCDPhBugj",277.0,Mississippi,Trump,
125,Please all #Trump supporters get out on #Nov3rd and vote #Red and save #America from becoming a #Democrat #socialist and #communist country!! We need to save our country https://t.co/zaNlXqF9Zn,46.0,Mississippi,Trump,
126,@nikkymarison @KamVTV @PopGalore she saw #trump supporters &amp; cried? Then they laughed at her for freaking out? Sounds like she watched cnn so much she got scared of the maga hats. Don’t like people being scared but being surrounded by #antifa and #blm would have been much worse. They’d drug her out.,25.0,Mississippi,Trump,
127,"@AngelaNWalker Yes, and the #fascists know who their friends are. Richard Spencer is #RidinWithBiden. He expects more help in crushing us from #Biden and #Harris than he ever got from #Trump. https://t.co/hnmWbLQhqR",19.0,Mississippi,Trump,
128,"@jvgraz It's even worse than that. Voting for #Biden, in particular, isn't even a stamp of approval; it's fearful submission to #bluemail. ""Submit or you get #Trump!"" Whereas voting for the #GreenParty (or #PSL) is a statement of defiance. #VoteGreen 
https://t.co/MtbLmzd4zW",18.0,Mississippi,Trump,
129,"Imagine that, more educated people are voting for #Biden. 

#TrumpCrimeFamily #Trump #ByeTiffany #BidenHarris2020 https://t.co/Kug5JEOZGi",508.0,Missouri,Trump,
130,@cmclymer Probably in reference to the “fake” Melania with #Trump today! https://t.co/GNSe4z7K2M,95.0,Missouri,Trump,
131,#DonaldTrump https://t.co/bPSi15vnSX,49.0,Missouri,Trump,
132,"HOLD THE LINE. 

PRAY.

#ElectionNight   #Election2020   #Elections2020   #ElectionDay   #Trump #Trump20",46.0,Missouri,Trump,
133,"@BillOReilly #Trump FAILED AMERICA!

Trump is not winning! 

This is not winning! 
COVID-19 Cases:
9,914,736
Deaths:
240,922

Republicans can’t spin DEATH &amp; DYING, they try to overlook it! 

All Trump had to do to avert this Pandemic was to READ THE PANDEMIC MANUAL! 

#GOP FAILED AMERICA! https://t.co/Vh01XmTazA",46.0,Missouri,Trump,
134,@michellemalkin We rallied in Billings MT today for #Trump !,13.0,Montana,Trump,
135,"I really don't blame Donald Trump for walking out. After all, he's old and a little mentally slow, and that damn #LeslieStahl is absolutely frightening. #Walkingout was probably #Trump's best decision of the week.",9.0,Montana,Trump,
136,How can you be pro-bird AND pro-large window? Aren’t they enemies? #Debates2020 #trump #biden,9.0,Montana,Trump,
137,"Work on yourself then work on your community. We can create a better future!
#Election2020 #democracy #ElectionResults2020 #unity #Trump #Biden https://t.co/aabasWVAco",9.0,Montana,Trump,
138,Looks like Wikipedia is confident that Melania is on her way out of the White House and Jill Biden is moving in. #Trump #bidenharis2020 https://t.co/7SVhZpSVPD,6.0,Montana,Trump,
139,That the #POTUS election is this close is devastating for those who are exhausted by the #Trump reality show. #Unbelievable,511.0,Nebraska,Trump,
140,@HillaryClinton Guess who is making threats? Guess who wants to take it to court? The guy who doesn't pay taxes and bullies banks into forgiving debt. The guy who believes his own lies. The guy who caged children. The guy who looked the other way and let 240K people die from #COVID19. #Trump,68.0,Nebraska,Trump,
141,"New #cartoon! #Election2020 #trump #biden #CmonMan 

Support my work: https://t.co/vHTShVfv8R https://t.co/LB0RGlbLai",27.0,Nebraska,Trump,
142,"National story, happened in #Omaha where I live. New #cartoon. #strandedinOmaha #NebraskaRally #trump #2020Election 

Support me on #Patreon: https://t.co/vHTShVfv8R https://t.co/MBEfhnDycR",21.0,Nebraska,Trump,
